SEASON,TEAM_NAME,GAME_DATE,MATCHUP,WIN,TEAM_PTS_AVG,TEAM_AST_AVG,TEAM_REB_AVG
2202,Atlanta Hawks,2023-11-17,ATL vs. PHI,0,,,
2202,Atlanta Hawks,2023-11-15,ATL vs. NYK,0,,,
2202,Atlanta Hawks,2023-11-14,ATL @ DET,1,,,
2202,Atlanta Hawks,2023-11-11,ATL vs. MIA,0,,,
2202,Atlanta Hawks,2023-11-09,ATL @ ORL,1,,,
2202,Atlanta Hawks,2023-11-06,ATL @ OKC,0,,,
2202,Atlanta Hawks,2023-11-04,ATL @ NOP,1,,,
2202,Atlanta Hawks,2023-11-01,ATL vs. WAS,1,,,
2202,Atlanta Hawks,2023-10-30,ATL vs. MIN,1,,,
2202,Atlanta Hawks,2023-10-29,ATL @ MIL,1,,,
2202,Atlanta Hawks,2023-10-27,ATL vs. NYK,0,,,
2202,Atlanta Hawks,2023-10-25,ATL @ CHA,0,,,
2202,Atlanta Hawks,2023-07-16,ATL @ DAL,0,,,
2202,Atlanta Hawks,2023-07-13,ATL vs. PHI,1,,,
2202,Atlanta Hawks,2023-07-12,ATL vs. MIN,1,,,
2202,Atlanta Hawks,2023-07-09,ATL @ DEN,1,,,
2202,Atlanta Hawks,2023-07-07,ATL vs. SAC,0,,,
4202,Atlanta Hawks,2023-04-27,ATL vs. BOS,0,,,
4202,Atlanta Hawks,2023-04-25,ATL @ BOS,1,,,
4202,Atlanta Hawks,2023-04-23,ATL vs. BOS,0,,,
4202,Atlanta Hawks,2023-04-21,ATL vs. BOS,1,,,
4202,Atlanta Hawks,2023-04-18,ATL @ BOS,0,,,
4202,Atlanta Hawks,2023-04-15,ATL @ BOS,0,,,
5202,Atlanta Hawks,2023-04-11,ATL @ MIA,1,,,
2202,Atlanta Hawks,2023-04-09,ATL @ BOS,0,,,
2202,Atlanta Hawks,2023-04-07,ATL vs. PHI,0,,,
2202,Atlanta Hawks,2023-04-05,ATL vs. WAS,1,,,
2202,Atlanta Hawks,2023-04-04,ATL @ CHI,1,,,
2202,Atlanta Hawks,2023-04-02,ATL vs. DAL,1,,,
2202,Atlanta Hawks,2023-03-31,ATL @ BKN,0,,,
2202,Atlanta Hawks,2023-03-28,ATL vs. CLE,1,,,
2202,Atlanta Hawks,2023-03-26,ATL vs. MEM,0,,,
2202,Atlanta Hawks,2023-03-25,ATL vs. IND,1,,,
2202,Atlanta Hawks,2023-03-22,ATL @ MIN,0,,,
2202,Atlanta Hawks,2023-03-21,ATL vs. DET,1,,,
