SEASON,TEAM,OPPONENT,WIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF
2024,MIN,TOR,0,-0.616255907709632,-1.604415708220479,-1.2124250580530065,-1.008115103894969,-0.13952652646220084,0.03383783024790824,-0.20097144201987516,1.6223755168488363,1.500081461186189,0.3937349001304195,-0.0762031644501353,-0.6959739600374751,-0.6153190033025768,-1.8274305770174852,1.5435352829537106,0.054250064505111176,0.9527552767924068,1.0352141728157387
2024,MIN,PHX,1,0.5786225614060229,0.11945220214521922,-1.2124250580530065,1.0273751249848624,1.1466142180722054,0.61578126713032,0.9041532668083084,0.26458717933826786,0.5088395435543955,-0.4691448273482643,-0.34151280251848015,-1.9808722708125976,-1.8221754826346583,0.3518943592953962,0.15680285760392887,0.4572505436859358,0.17666391376855287,-1.587126391230988
2024,MIN,SAC,1,1.3752082074831262,1.2686974757223515,1.7799852094903292,0.11867412994922297,1.9182986647928493,2.0706398593363495,0.5714275480213281,-0.5840305316058373,-0.907220338776738,0.9590698939957648,-0.0762031644501353,-0.5124170584981719,-0.46446194338606667,0.15377391053967973,0.5034859639413743,-0.3487504146757135,-0.599427449255301,-0.1567588108418644
2024,MIN,POR,0,-1.1738658599636043,-0.8382521925023909,0.7825151203092173,-1.3534214820085109,-1.4256672709966072,0.61578126713032,-2.149793509200759,-0.07485990503937422,-0.05758440937805792,-0.052582200289588814,0.7197257497548992,-1.0630877631160816,-0.46446194338606667,-1.8274305770174852,1.5435352829537106,-0.7517508938565381,-0.08203320723939843,-0.1567588108418644
2024,MIN,POR,0,-0.377280213886501,-0.8382521925023909,-2.209895147234118,0.7002427667720322,0.11770162244468042,0.03383783024790824,0.1317542767671046,0.60403426371591,0.08402157885505543,1.335959889905995,-1.6680609928602044,-1.0630877631160816,-1.8221754826346583,-0.6387078844831863,1.890218389291156,-0.3487504146757135,1.987543760824212,0.5584249793526974
2024,MIN,MIA,0,-1.4925001183944455,-1.221333950361435,-0.07245924184602145,-1.2807254024056598,0.11770162244468042,1.4886964224539376,-0.8426567568233374,-1.0932011581723005,-1.332038303476078,0.6714433181695365,1.5156546639599338,-0.5124170584981719,0.44068041611299436,-0.6387078844831863,1.890218389291156,0.054250064505111176,1.4701495188083094,0.0816357858896562
2024,MIN,POR,1,1.1362325136599951,1.0771565967928294,1.2100023013868366,0.30041432895635084,2.432754962606612,2.2161257185569525,0.9516855123493057,-1.0932011581723005,-1.1904323152429648,0.07635385094285835,-0.0762031644501353,0.9560381538162538,0.7423945359460147,1.3424966030739787,0.5034859639413743,0.8602510228667605,0.9527552767924068,0.32003038262117683
2024,MIN,CHI,1,1.7735010305216778,1.8433201125109175,0.6400193932833442,1.4453775827012565,0.8893860691653243,0.4702954079097171,0.725907346029569,-0.07485990503937422,-0.7656143505436247,2.198839617384679,-0.0762031644501353,-0.6959739600374751,-0.6153190033025768,0.7481352568068292,-0.18988024873351655,-0.3487504146757135,-0.08203320723939843,-0.6335480043049057
2024,MIN,CHA,1,0.10067117375976095,-0.4551704346433469,-1.3549207850788796,0.463980508062766,1.4038423669790867,0.4702954079097171,1.3557095994477812,0.09486363714944682,0.5088395435543955,-0.8559529810456058,-0.34151280251848015,0.40536744919834417,0.13896629627997403,-0.4405874357274698,-0.18988024873351655,1.2632515020475852,0.4353610347765042,-0.1567588108418644
2024,MIN,SAS,0,-0.7755730369250526,-0.4551704346433469,-0.9274336040012602,0.13684814984993576,-0.3967546753690821,0.3248095486891141,-0.747592265741343,-0.5840305316058373,-0.3407963858442846,-0.7766077187487153,-1.1374417167235147,-1.430201566194688,-1.8221754826346583,-0.8368283332389027,-0.18988024873351655,-1.1547513730373629,-0.3407303282473497,-0.8719426010364263
2024,MIN,DEN,1,0.4989639967983126,0.3109930810747413,-0.7849378769753871,0.9001569856798729,1.4038423669790867,1.052238844792129,0.8209718371115634,-0.4143069894170163,-0.6240083623105114,0.5425072669370893,-0.606822440586825,-0.6959739600374751,-0.9170331231355972,1.7387375005854118,0.15680285760392887,1.6662519812284098,0.6940581557844555,0.5584249793526974
2024,MIN,DAL,0,0.10067117375976095,-0.4551704346433469,-1.6399122391306258,0.6820687468713195,1.661070515885968,0.61578126713032,1.510189397456022,-0.07485990503937422,0.5088395435543955,-1.232842976955835,0.18910647361820954,-0.5124170584981719,-0.3136048834695565,1.540617051829695,-0.8832464614084075,-1.1547513730373629,1.7288466398162605,0.0816357858896562
2024,MIN,TOR,1,-0.05864595545565971,-0.4551704346433469,-0.7849378769753871,0.027804030445659024,0.3749297713515617,0.3248095486891141,0.2149357064638497,0.4343107215270889,0.5088395435543955,-0.09225483143803409,-0.34151280251848015,-0.3288601569588687,-0.46446194338606667,0.7481352568068292,0.5034859639413743,1.2632515020475852,-0.08203320723939843,-0.8719426010364263
2024,MIN,SAC,1,0.3396468675828919,-0.07208867678430281,-0.35745069589776773,0.15502216975064856,1.9182986647928493,2.2161257185569525,0.47636305693933434,-0.4143069894170163,-0.7656143505436247,1.028496998505544,-1.1374417167235147,0.40536744919834417,-0.3136048834695565,-0.24246698697175326,-1.5766126740832982,-1.1547513730373629,0.6940581557844555,1.0352141728157387
