SEASON,TEAM,OPPONENT,WIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,LAST_GAME_RESULT,HOME_GAME
2024,DAL,MIA,0,0.419559315306952,0.5028285513111168,2.348717063415491,-0.8979504115649081,-0.6550005938788134,0.7593417610282331,-1.305964471939529,0.43507477727601246,0.3675259140301391,0.21586756555938116,1.2495114469656496,1.8734557863242962,2.250383971158855,0.7473736006385809,-0.5364220687401,1.6642190491655462,-0.08215968858018435,1.0359051104868484,1.0,0
2024,DAL,DEN,1,0.8178635096023203,0.8858130165791238,0.35439488881581,0.6644121785893968,-0.6550005938788134,-1.1314937548219146,0.11986480867716638,0.6049302503388139,0.6508907477404842,-0.00237785622605352,0.45334981119140455,-0.3285075215107917,-0.012370269109764577,-0.24285854737081985,1.1963531881125844,0.052720317528271554,-0.08215968858018435,0.5587671224091432,1.0,0
2024,DAL,NOP,1,1.5348110593339834,1.4602897144811344,0.7817496405157416,0.9550842883855468,0.3739414851157743,-0.5496982114834076,1.0941814837652417,0.43507477727601246,0.3675259140301391,0.21586756555938116,0.9841242350409013,0.038486363128389635,0.591030861628534,0.15323431183294048,1.5429082394831213,0.8584696833469089,-0.5997231568485176,-1.1112158358628252,1.0,1
2024,DAL,OKC,1,0.658541831884173,-0.2631403792248972,-0.6427661984840304,0.1375689795838751,-0.3977650741301665,-1.1314937548219146,0.5594955035339805,2.133629507904026,1.9260324994370368,0.5432356982375321,2.045673082739895,0.2219833054479803,1.3452822750514073,-1.4311371249821008,-1.2295321714811738,0.052720317528271554,0.6941855138223156,0.0816291343314379,1.0,0
2024,DAL,SAS,1,-0.21772739556563744,0.5028285513111168,0.7817496405157416,-0.007767075314198873,-1.1694716333761073,-0.5496982114834076,-1.2109091865650825,-0.5840580611007956,-0.6242510039560686,-0.00237785622605352,0.718737023116153,1.1394680170459337,1.3452822750514073,0.15323431183294048,0.5032430853715107,0.8584696833469089,0.17662204555398228,-0.3955088537462673,0.0,1
2024,DAL,UTA,0,0.021255121011583587,0.3113363186771133,-0.5003146145840532,0.6825791854516562,-0.14052955438151957,0.6138928751936064,-0.6168136529747928,-0.41420258803799426,-0.34088617024572354,-0.28014475668024313,0.18796259926665623,-2.7139677716654704,-2.1242742266938097,-0.04481211776893969,1.1963531881125844,2.067093732074865,0.9529672479564822,-0.3955088537462673,0.0,0
2024,DAL,GSW,0,0.3398984764478783,0.5028285513111168,-0.6427661984840304,1.0095853089723248,-0.3977650741301665,-0.1133515539795274,-0.4267030822259,0.09536383115040978,0.22584349717496657,-0.28014475668024313,-0.6081990365075888,-0.3285075215107917,-0.6157713998480632,0.15323431183294048,-0.5364220687401,-1.558778414109003,0.9529672479564822,0.7973361164479957,0.0,0
2024,DAL,DEN,0,0.5788809930250993,1.2687974818471308,0.2119433049158328,1.1730883707326591,-0.6550005938788134,-0.2588004398141541,-0.6762232063338219,-0.5840580611007956,-0.48256858710089606,-0.40910796046254544,-0.07742461265809213,-0.3285075215107917,-0.3140708344789139,0.7473736006385809,-0.18986701736956307,0.052720317528271554,-0.8585048909826843,-0.63407784778512,0.0,0
2024,DAL,PHX,0,0.021255121011583587,-0.07164814659089369,-1.2125725340839393,0.8097482334874718,-0.3977650741301665,-0.2588004398141541,-0.31976588617964774,0.43507477727601246,-0.05752133653537849,1.297174428041761,-0.6081990365075888,-0.5120044638303823,-0.7666216825326377,-1.4311371249821008,-0.8829771201106369,-1.558778414109003,-0.5997231568485176,0.5587671224091432,1.0,1
2024,DAL,CHI,1,0.49922015416602566,0.6943207839451203,0.6392980566157643,0.28290503448195004,-0.14052955438151957,0.4684439893589796,-0.5217583676003464,-0.07449164191239156,-0.19920375339055102,0.31507003000730605,-0.3428118245828405,0.7724741324067523,0.44018057894395934,1.5395593190461017,1.1963531881125844,-0.35015436538104716,0.4354037796881489,-0.15693985970741473,0.0,1
2024,DAL,IND,0,1.1365068650386152,0.8858130165791238,0.06949172101585559,0.8824162609365093,0.6311770048644212,0.1775462176897261,0.6783146102520385,0.43507477727601246,0.3675259140301391,0.21586756555938116,-1.4043606722818338,-0.14501057919120103,-0.9174719652172124,0.7473736006385809,-1.2295321714811738,-0.7530290482903658,-1.3760683592510177,-0.3955088537462673,1.0,1
2024,DAL,ORL,1,-0.37704907328378484,0.11984408604310982,-0.5003146145840532,0.46457510310454375,-0.6550005938788134,-0.4042493256487809,-0.5574040996157639,-0.5840580611007956,0.08416108031979404,-1.6788995053959825,0.45334981119140455,1.3229649593655244,1.3452822750514073,-0.04481211776893969,0.1566880340009738,0.052720317528271554,1.2117489820906489,0.5587671224091432,0.0,1
2024,DAL,HOU,0,-0.855014106438227,-0.4546326118589007,-0.5003146145840532,-0.1712701370745332,-0.6550005938788134,-0.6951470973180344,-0.31976588617964774,-0.5840580611007956,-0.34088617024572354,-0.7761570789198674,-0.07742461265809213,-1.245992233108745,-1.068322247901787,-0.8369978361764603,-0.5364220687401,0.8584696833469089,-0.8585048909826843,1.7516120926034062,1.0,1
2024,DAL,MIN,1,0.5788809930250993,0.6943207839451203,0.6392980566157643,0.28290503448195004,0.8884125246130682,0.6138928751936064,0.5951412355493979,-0.5840580611007956,-0.6242510039560686,-0.00237785622605352,0.45334981119140455,-1.0624952907891543,-0.6157713998480632,-0.04481211776893969,1.5429082394831213,-1.1559037311996845,-1.117286625116851,0.3201981283702905,1.0,0
