SEASON,TEAM,OPPONENT,WIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF
2024,PHI,MEM,0,-0.13830452006337005,-0.4551704346433469,-0.21495496887189458,-0.37202440737002135,-0.3967546753690821,-0.25713388819329763,-0.31980205587236815,0.773757805904731,0.22562756708816878,1.3756325210544402,0.9850353878232441,-1.2466446646553848,-0.46446194338606667,-0.8368283332389027,1.5435352829537106,0.4572505436859358,0.17666391376855287,-0.1567588108418644
2024,PHI,MIA,0,-1.8907929414329971,-1.221333950361435,-0.642442149949514,-0.9354190242921178,-0.6539828242759634,0.906752985571526,-1.3773945191595554,-1.4326482425499425,-1.4736442917091914,-0.2806998293931492,-2.198680268996894,1.139595055355557,-0.3136048834695565,-0.04434653821603676,0.8501690702788197,-0.7517508938565381,0.17666391376855287,-0.6335480043049057
2024,PHI,ORL,0,-2.129768635256128,-2.370579223938567,-2.3523908742599917,-1.1898553029020957,-0.6539828242759634,-0.5481056066345036,-0.4386326697248612,0.09486363714944682,-0.19919039761117127,0.780543053827761,-1.1374417167235147,-1.0630877631160816,-1.520461362801638,-1.2330692307503357,0.8501690702788197,-0.7517508938565381,0.6940581557844555,0.796819576084218
2024,PHI,CLE,0,-0.5365973431019216,-0.07208867678430281,0.4975236662574711,-0.4083724471714469,0.3749297713515617,1.197724704012732,-0.4029834855691133,-1.2629247003611215,-1.6152502799423047,1.2962872587575496,0.4544161116865544,-0.14530325541956549,0.13896629627997403,-0.24246698697175326,0.15680285760392887,-1.1547513730373629,-0.599427449255301,-1.587126391230988
2024,PHI,NYK,0,-1.094207295355894,-1.987497466079523,-0.7849378769753871,-1.7350758999234794,0.3749297713515617,1.052238844792129,-0.31980205587236815,0.943481348093552,0.22562756708816878,1.7822769903260032,-0.34151280251848015,-0.5124170584981719,-0.6153190033025768,-1.2330692307503357,0.8501690702788197,0.4572505436859358,-0.08203320723939843,0.0816357858896562
2024,PHI,CHA,1,-0.45693877849421133,-0.4551704346433469,-0.642442149949514,-0.0812400889586167,-0.9112109731828446,-0.25713388819329763,-1.0327857389873256,0.4343107215270889,0.5088395435543955,-0.09225483143803409,-0.606822440586825,-0.3288601569588687,-0.6153190033025768,-0.24246698697175326,0.15680285760392887,-1.5577518522181875,0.9527552767924068,0.796819576084218
2024,PHI,LAL,0,-0.5365973431019216,-0.4551704346433469,1.0675065743609635,-1.1353332431999574,0.11770162244468042,0.61578126713032,-0.31980205587236815,-0.4143069894170163,0.08402157885505543,-1.2526792925300574,0.7197257497548992,-0.5124170584981719,-0.01189076363653615,0.5500148080511127,-0.536563355070962,-0.3487504146757135,-2.151610175303009,-1.3487317944994675
2024,PHI,LAC,0,-1.1738658599636043,-0.26362955571382485,-2.209895147234118,1.4453775827012565,-1.4256672709966072,-1.4210207619581212,-0.9496043092905805,-1.0932011581723005,-0.482402374077398,-1.9767048109891838,-0.0762031644501353,-2.164429172351901,-1.8221754826346583,-1.2330692307503357,0.8501690702788197,-1.1547513730373629,1.7288466398162605,0.5584249793526974
2024,PHI,PHX,0,0.2599883029751816,-0.26362955571382485,-0.21495496887189458,-0.15393616856146786,1.9182986647928493,2.3616115777775555,0.3812985658573399,-0.24458344722819525,-0.6240083623105114,1.0979241030153233,-0.34151280251848015,-0.8795308615767783,-0.9170331231355972,0.3518943592953962,0.8501690702788197,-0.3487504146757135,0.17666391376855287,0.5584249793526974
2024,PHI,MEM,0,-0.45693877849421133,-1.029793071431913,0.07003648517985167,-1.171681283001383,1.661070515885968,1.6341822816745406,0.6308428549475745,-0.24458344722819525,-0.3407963858442846,0.21520805996241685,-0.606822440586825,-1.6137584677339911,-1.6713184227181481,-0.6387078844831863,1.1968521766162652,0.054250064505111176,0.17666391376855287,-0.1567588108418644
2024,PHI,DET,0,-1.4128415537867354,-1.604415708220479,-1.3549207850788796,-0.917245004391405,-1.168439122089726,-0.9845631842963124,-0.8783059409790853,0.60403426371591,0.7920515200206222,-0.2806998293931492,-0.606822440586825,-0.8795308615767783,-1.0678901830521075,-1.6293101282617688,-0.18988024873351655,-0.3487504146757135,-1.1168216912712037,0.32003038262117683
2024,PHI,IND,1,0.41930543219060223,0.11945220214521922,1.35249802841271,-0.7173307854835643,-0.3967546753690821,1.052238844792129,-1.1634994142250679,0.943481348093552,1.2168694847199624,-0.36004509169003973,2.576893216233313,0.038253646119737715,1.4966798355285655,-2.025551025773202,0.5034859639413743,-0.3487504146757135,1.4701495188083094,1.51200336627878
2024,PHI,TOR,0,-0.45693877849421133,-2.370579223938567,-1.782407966156499,-1.5715097208170643,-0.9112109731828446,-0.8390773250757094,-0.5931124677331021,3.8287815653035095,4.332201225848456,-0.2311090404575926,-0.0762031644501353,-2.8986567785091135,-2.425603722300699,-1.2330692307503357,1.1968521766162652,0.054250064505111176,0.6940581557844555,2.9423709466679036
2024,PHI,MIL,0,-0.2976216492787907,-0.07208867678430281,1.35249802841271,-0.917245004391405,-1.168439122089726,-0.5481056066345036,-1.211031659766065,0.26458717933826786,0.6504455317875089,-0.7369350876002699,1.7809643020282786,-0.3288601569588687,0.7423945359460147,-1.4311896795060521,-1.2299295677458528,-1.1547513730373629,-0.8581245702632523,1.988792559741821
