SEASON,TEAM,OPPONENT,WIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,LAST_GAME_RESULT,HOME_GAME
2024,LAC,PHI,1,0.9771851873204678,1.0773052492131274,-1.070120950183962,2.0269376932588474,-0.14052955438151957,-0.6951470973180344,0.4763221288313405,0.2652193042132111,0.3675259140301391,-0.18094229223231828,-0.07742461265809213,0.038486363128389635,-0.012370269109764577,1.1434664598423412,0.5032430853715107,0.052720317528271554,0.9529672479564822,0.5587671224091432,1.0,0
2024,LAC,SAC,1,-0.6956924287200795,-0.4546326118589007,0.7817496405157416,-0.9706184390139455,-0.6550005938788134,1.0502395326974865,-1.4485474000011986,-0.2443471149751929,-0.9076158376664136,2.199916854517876,0.18796259926665623,1.6899588440047058,1.4961325577359819,0.35128074143482063,1.8894632908536582,-0.7530290482903658,-0.340941422714351,1.0359051104868484,1.0,1
2024,LAC,ORL,1,-0.6956924287200795,-0.6461248444929042,-1.6399272857838707,0.46457510310454375,-0.3977650741301665,-1.8587381839950483,1.6645131960119197,-0.07449164191239156,-0.19920375339055102,0.31507003000730605,1.2495114469656496,0.038486363128389635,0.7418811443131086,-0.6389514065745802,0.8497981367420476,-1.558778414109003,2.2468759186273157,0.5587671224091432,1.0,1
2024,LAC,GSW,1,-0.855014106438227,-1.2206015423949148,-0.9276693662839848,-0.7526143566668331,0.8884125246130682,-0.1133515539795274,1.3199377865295514,-0.2443471149751929,-0.6242510039560686,1.0987694991459114,-1.4043606722818338,0.955971074726343,-0.012370269109764577,0.7473736006385809,0.8497981367420476,0.4555950004375902,0.9529672479564822,-1.5883538239405304,1.0,1
2024,LAC,UTA,1,0.26023763758880464,0.8858130165791238,0.7817496405157416,0.3737400687932469,-0.3977650741301665,0.7593417610282331,-1.0089167051443837,-0.753913534163597,-0.7659334208112412,-0.13134106000835585,0.9841242350409013,-1.245992233108745,-0.4649211171634885,0.9454200302404612,1.1963531881125844,0.052720317528271554,-1.117286625116851,-2.0654918120182355,0.0,1
2024,LAC,HOU,0,-0.6956924287200795,-1.4120937750289182,0.2119433049158328,-1.6427976929175412,-0.6550005938788134,0.7593417610282331,-1.305964471939529,1.4542076156528205,1.5009852488715194,0.09682460822187135,0.718737023116153,0.7724741324067523,1.043581709682258,-2.6194157025933817,-0.5364220687401,0.4555950004375902,0.17662204555398228,-1.1112158358628252,0.0,0
2024,LAC,HOU,0,-0.7753532675791532,-0.6461248444929042,1.066652808315696,-1.3157915693968725,0.3739414851157743,0.4684439893589796,0.09610098733355478,-0.753913534163597,-0.9076158376664136,0.3448307693416824,-0.07742461265809213,-0.3285075215107917,-0.3140708344789139,0.35128074143482063,0.8497981367420476,-0.7530290482903658,-1.117286625116851,-0.8726468418239726,0.0,0
2024,LAC,OKC,0,1.2161677038976888,0.5028285513111168,-1.2125725340839393,1.4819274873910686,1.9173546036076559,0.32299510352435284,2.1516715335559575,0.43507477727601246,0.9342555814508292,-0.8753595433677923,1.2495114469656496,-0.3285075215107917,0.44018057894395934,1.1434664598423412,-0.8829771201106369,0.052720317528271554,2.505657652761482,0.5587671224091432,1.0,0
2024,LAC,TOR,1,-0.6160315898610058,-1.2206015423949148,-1.782378869683848,-0.13493612335001448,-0.6550005938788134,-1.2769426406565414,0.29809346875425347,1.2843521425900193,1.3593028320163467,0.027382883108323937,-0.8735862484323371,1.1394680170459337,0.44018057894395934,-1.4311371249821008,-0.5364220687401,1.2613443662562276,-0.340941422714351,0.0816291343314379,1.0,1
2024,LAC,SAC,1,-0.4567099121428585,-1.0291093097609112,-1.070120950183962,-0.4437752400084238,0.3739414851157743,-0.6951470973180344,1.2724101438423288,0.6049302503388139,0.08416108031979404,1.336855413820931,0.45334981119140455,0.40548024776757097,0.591030861628534,-1.0350442657783405,-0.18986701736956307,-1.1559037311996845,1.2117489820906489,0.3201981283702905,1.0,0
2024,LAC,PHI,1,-0.21772739556563744,-0.07164814659089369,-2.3521852052837566,1.8271006177739946,-0.14052955438151957,-0.9860448689872878,0.8208975383137083,-0.2443471149751929,-0.48256858710089606,0.6325179162406644,-0.6081990365075888,-2.346973887026289,-2.2751245093783843,0.35128074143482063,1.5429082394831213,-1.558778414109003,0.9529672479564822,-0.8726468418239726,1.0,1
2024,LAC,SAS,1,0.021255121011583587,-0.07164814659089369,0.2119433049158328,-0.2257711576613113,1.660119083859009,0.32299510352435284,1.830859945417201,-0.9237690072263983,-0.7659334208112412,-0.7166356002511125,1.5148986588903979,-1.0624952907891543,-0.012370269109764577,-0.04481211776893969,-0.5364220687401,0.8584696833469089,-0.8585048909826843,0.3201981283702905,0.0,1
2024,LAC,OKC,0,-1.6516224950289637,-1.7950782402969252,-1.3550241179839164,-1.1522885076365381,-0.3977650741301665,0.03209733185509935,-0.545522188943958,-0.07449164191239156,0.5092083308853116,-1.2324884153803206,-0.07742461265809213,1.1394680170459337,0.8927314269976833,-0.44090497697270004,0.8497981367420476,0.8584696833469089,1.7293124503589823,-0.63407784778512,0.0,1
2024,LAC,PHX,0,0.49922015416602566,0.6943207839451203,0.6392980566157643,0.28290503448195004,-0.14052955438151957,0.03209733185509935,-0.2009467794615897,-0.07449164191239156,-0.19920375339055102,0.31507003000730605,1.2495114469656496,-0.14501057919120103,0.591030861628534,0.35128074143482063,0.1566880340009738,1.2613443662562276,0.17662204555398228,0.5587671224091432,0.0,1
