SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,WIN,Points_Per_Game,OPPONENT_TEAM_ID,HOME_GAME,LAST_GAME_RESULT
22024,10,LAL,Los Angeles Lakers,0022400270,2024-11-23,LAL vs. DEN,L,239,-0.014820474521341097,0.10674877025692313,0.5117981105858105,-0.29258106219410934,1.4712520239146394,1.641166837130666,0.14248334277481178,-1.227640163513786,-1.377084098271678,0.29521456682205427,-1.3458809870440098,-0.8314198651721079,-1.5473963928412577,0.7352765555641978,1.0097847757216696,-0.7516295701676208,0.10037843727195926,-1.2128516297852778,-25.0,0,105.0999498997996,6,1,0.0
22024,10,LAL,Los Angeles Lakers,0022400263,2024-11-21,LAL vs. ORL,L,240,1.1219463027918624,0.9338709963283914,0.39910821111213607,0.7836401220737542,1.4712520239146394,1.1832929416854425,0.5233196000943999,-0.32184647064682687,0.08428460608970666,-1.0268534297193244,-0.6566881197210473,-0.6555710993906649,-0.9628225642468026,-0.3231905226140974,-1.2762143249056805,0.37850694905773075,-1.076106190485414,-1.4172692201732193,-1.0,0,105.0999498997996,16,1,0.0
22024,10,LAL,Los Angeles Lakers,0022400026,2024-11-19,LAL vs. UTA,W,240,1.5482338442843138,0.6030221058998041,-0.8404806830982826,1.5865352912894626,1.6930707020864033,1.1832929416854425,0.7400022982245107,1.0368440686536116,1.3020918597241942,-0.34578809816770556,-1.3458809870440098,-0.47972233360922223,-1.2551094785440302,1.2645100946533452,0.35664217554242666,0.0017947759826136167,-0.1349184882795154,-1.2128516297852778,6.0,1,105.0999498997996,25,1,0.0
22024,10,LAL,Los Angeles Lakers,0022400231,2024-11-16,LAL @ NOP,W,240,0.12727537264280936,0.10674877025692313,0.6244880100594851,-0.3779954418979081,1.2494333457428752,2.007465953486845,-0.25805134164751375,-0.7747433170803063,-0.8899611968178833,0.2150892336983343,1.1811595264735195,-0.8314198651721079,0.06018163579349437,0.20604301647505013,0.6832134756320482,-0.7516295701676208,-0.8408092649339393,-1.621686810561161,5.0,1,105.0999498997996,3,0,1.0
22024,10,LAL,Los Angeles Lakers,0022400015,2024-11-15,LAL @ SAS,W,241,1.2640421499560128,0.9338709963283914,0.5117981105858105,0.6811428664291957,1.6930707020864033,1.1832929416854425,0.7400022982245107,-0.1708808551690004,-0.2810575700006396,0.2651675669006593,-0.42695716394672645,0.047823963735106244,-0.2321052785037333,0.7352765555641978,0.6832134756320482,-0.7516295701676208,-1.076106190485414,-2.2349395817249857,5.0,1,105.0999498997996,22,0,1.0
22024,10,LAL,Los Angeles Lakers,0022400225,2024-11-13,LAL vs. MEM,W,241,1.8324255386126147,0.7684465511140978,0.17372841216478724,0.7836401220737542,3.023982771116988,2.0990407325758893,0.9763834234573585,0.4329816067423056,0.8149689582703991,-0.6863207639435156,-1.116150031269689,0.7512190268608774,-0.08596182135511947,1.440921274349728,-0.29650042463681625,0.0017947759826136167,0.8062692139263832,0.01365391254237165,5.0,1,105.0999498997996,26,1,1.0
22024,10,LAL,Los Angeles Lakers,0022400211,2024-11-10,LAL vs. TOR,W,242,1.4771859207022386,0.9338709963283914,0.28641831163846165,0.8861373777183128,1.2494333457428752,1.7327416162197107,-0.10046392482561503,0.5839472222201322,0.32784605681660417,0.645762899238328,-0.42695716394672645,-1.3589661625164362,-1.401252935692644,1.2645100946533452,0.35664217554242666,-0.3749173970925036,-2.2525908182427874,-1.4172692201732193,20.0,1,105.0999498997996,24,1,1.0
22024,10,LAL,Los Angeles Lakers,0022400195,2024-11-08,LAL vs. PHI,W,239,0.9798504556277121,0.9338709963283914,0.17372841216478724,0.9886346333628713,2.136708058429931,1.5495920580416211,0.7728330100624062,-1.0766745480359594,-1.377084098271678,1.0063268982950682,-1.5756119428183306,1.6304628557680916,0.35246855009072203,0.9116877352605802,-2.2559282251745447,3.015492160583551,-0.8408092649339393,-1.0084340393973361,10.0,1,105.0999498997996,18,1,1.0
22024,10,LAL,Los Angeles Lakers,0022400174,2024-11-06,LAL @ MEM,L,240,0.8377546084635616,0.4375976606855105,1.0752476079541828,-0.32674681407562883,1.9148893802581675,2.740064186199202,-0.1726914908689853,-0.32184647064682687,-0.5246190207275371,0.5355905661932141,-0.6566881197210473,-0.47972233360922223,-0.8166791070981887,0.0296318367786676,0.6832134756320482,-1.5050539163178553,-0.8408092649339393,-0.8040164490093946,-17.0,0,105.0999498997996,26,0,1.0
22024,10,LAL,Los Angeles Lakers,0022400156,2024-11-04,LAL @ DET,L,240,0.056227449060734125,-0.22410012017166422,0.17372841216478724,-0.4292440697201873,0.5839773112275829,0.6338442671511741,0.13591720040723265,0.13105037578665257,0.20606533145315542,-0.1554904319988706,-1.116150031269689,-0.1280248020463366,-0.8166791070981887,0.9116877352605802,0.030070875452805217,-1.5050539163178553,-0.37021541383099005,-1.2128516297852778,-12.0,0,105.0999498997996,28,0,0.0
22024,10,LAL,Los Angeles Lakers,0022400137,2024-11-01,LAL @ TOR,W,239,2.0455693093588403,0.6030221058998041,0.5117981105858105,0.2882367197917214,1.0276146675711109,1.274867720774487,0.030858922525966857,2.546500223431876,1.9109954865414378,1.216655897744833,-0.6566881197210473,0.5753702610794347,0.06018163579349437,1.0880989149569626,-0.6230717247264377,0.0017947759826136167,-1.076106190485414,-1.0084340393973361,6.0,1,105.0999498997996,24,0,0.0
