SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,WIN,Points_Per_Game,OPPONENT_TEAM_ID,HOME_GAME,LAST_GAME_RESULT
22024,29,CHA,Charlotte Hornets,0022400268,2024-11-23,CHA @ MIL,L,239,1.1929942263739377,0.4375976606855105,1.8640769042699037,-0.8563159682391812,2.802164092945224,2.6484894071101572,0.42482746458071363,-0.1708808551690004,-0.5246190207275371,1.0063268982950682,0.49196665915055693,0.5753702610794347,0.7908989215365636,-0.1467793429177149,-0.6230717247264377,0.0017947759826136167,-1.076106190485414,-0.1907636778455699,-6.0,0,99.92635788070643,12,0,0.0
22024,29,CHA,Charlotte Hornets,0022400260,2024-11-21,CHA vs. DET,W,266,1.4771859207022386,0.9338709963283914,1.0752476079541828,0.21990521602868235,3.023982771116988,2.3737650698430235,0.7597007253272481,-0.6237777016024798,-0.5246190207275371,-0.4259134312914255,-0.19722620817240563,0.22367272951654904,0.06018163579349437,0.0296318367786676,1.3363560758112911,0.0017947759826136167,0.10037843727195926,0.01365391254237165,2.0,1,99.92635788070643,28,1,0.0
22024,29,CHA,Charlotte Hornets,0022400022,2024-11-19,CHA @ BKN,L,241,0.9088025320456369,-0.058675674957370534,-0.16434128625623604,0.04907645662108577,3.023982771116988,1.7327416162197107,1.3243889689390513,-0.019915239691173897,-0.4028382953640883,1.076436564778323,0.26223570337623603,0.047823963735106244,0.20632509294210818,0.38245419617143267,-0.6230717247264377,1.1319312952079652,1.5121599905808072,-0.39518126823351146,-1.0,0,99.92635788070643,14,0,1.0
22024,29,CHA,Charlotte Hornets,0022400236,2024-11-17,CHA @ CLE,L,240,0.8377546084635616,0.6030221058998041,2.202146602690927,-0.8904817201207007,3.023982771116988,3.106363302555381,0.3000707595967105,-1.3786057789916124,-1.6206455489985756,0.765950898923908,1.1811595264735195,-1.3589661625164362,-0.3782487356523471,1.9701548134388753,1.3363560758112911,0.37850694905773075,-1.3114031160368884,0.21807150293031322,-14.0,0,99.92635788070643,2,0,0.0
22024,29,CHA,Charlotte Hornets,0022400229,2024-11-16,CHA vs. MIL,W,240,0.9088025320456369,0.4375976606855105,1.0752476079541828,-0.32674681407562883,1.9148893802581675,2.190615511664934,0.11621877330449533,-0.1708808551690004,-0.5246190207275371,1.0063268982950682,0.9514285706991986,1.102916558423763,1.5216162072796329,0.38245419617143267,-0.29650042463681625,-0.3749173970925036,-1.076106190485414,-1.2128516297852778,1.0,1,99.92635788070643,12,1,0.0
22024,29,CHA,Charlotte Hornets,0022400003,2024-11-12,CHA @ ORL,L,241,-0.938443481088319,-0.7203734558145453,0.06103851269111281,-0.941730347942979,1.4712520239146394,1.8243163953087551,0.017726637790808995,-1.6805370099472654,-1.377084098271678,-1.858153760877919,-0.8864190754953681,1.6304628557680916,0.7908989215365636,-0.1467793429177149,-0.29650042463681625,-0.7516295701676208,1.747456916132282,-0.8040164490093946,-25.0,0,99.92635788070643,16,0,1.0
22024,29,CHA,Charlotte Hornets,0022400205,2024-11-10,CHA @ PHI,L,265,0.19832329622488457,-0.38952456538595787,1.3006274069015316,-1.3858851224027326,1.6930707020864033,3.2895128607334705,-0.527263178718257,-0.019915239691173897,-0.4028382953640883,1.076436564778323,0.03250474760191523,1.278765324205206,1.0831858358337914,-0.1467793429177149,0.6832134756320482,0.0017947759826136167,1.041566139477858,0.01365391254237165,-2.0,0,99.92635788070643,18,0,0.0
22024,29,CHA,Charlotte Hornets,0022400184,2024-11-08,CHA vs. IND,W,239,0.056227449060734125,-0.058675674957370534,0.7371779095331594,-0.6513214569500642,2.3585267366016955,2.923213744377292,0.004594353055650769,-1.3786057789916124,-1.6206455489985756,0.765950898923908,0.26223570337623603,2.1580091531124204,1.9600465787254744,0.0296318367786676,-0.6230717247264377,0.755219122132848,-0.1349184882795154,-1.2128516297852778,20.0,1,99.92635788070643,17,1,0.0
22024,29,CHA,Charlotte Hornets,0022400169,2024-11-06,CHA vs. DET,W,241,0.41146706697111024,0.10674877025692313,0.7371779095331594,-0.4634098216017069,1.6930707020864033,2.3737650698430235,-0.13986077903108973,-0.47281208612465336,-1.1335226475447808,2.438567227881561,-0.8864190754953681,1.4546140899866487,0.6447554643879497,-0.1467793429177149,-0.9496430248160592,-0.3749173970925036,-0.6055123393824646,-1.2128516297852778,1.0,1,99.92635788070643,28,1,1.0
22024,29,CHA,Charlotte Hornets,0022400162,2024-11-04,CHA @ MIN,L,240,-0.6542517867600182,-0.5549490106002516,0.5117981105858105,-1.0613104795282975,0.8057959893993469,2.190615511664934,-0.6651521684374184,-0.9257089325581328,-1.1335226475447808,0.565637566114608,-0.6566881197210473,-0.30387356782777947,-0.6705356499495749,-0.6760128820068625,0.6832134756320482,-1.5050539163178553,-0.1349184882795154,0.01365391254237165,-21.0,0,99.92635788070643,13,0,1.0
22024,29,CHA,Charlotte Hornets,0022400141,2024-11-02,CHA vs. BOS,L,239,0.056227449060734125,0.2721732154712168,0.8498678090068339,-0.3438296900163886,2.3585267366016955,2.190615511664934,0.43139360694829276,-1.9824682409029184,-1.985987725088922,-0.8966497633932793,-1.116150031269689,-0.6555710993906649,-1.2551094785440302,0.20604301647505013,0.6832134756320482,-1.5050539163178553,-0.37021541383099005,0.6269066837061964,-10.0,0,99.92635788070643,1,1,0.0
