SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,WIN,Points_Per_Game,OPPONENT_TEAM_ID,HOME_GAME,LAST_GAME_RESULT
22024,22,SAS,San Antonio Spurs,0022400269,2024-11-23,SAS vs. GSW,W,241,0.12727537264280936,-0.058675674957370534,0.17372841216478724,-0.22424955843107028,1.4712520239146394,2.6484894071101572,-0.409072616101833,-0.6237777016024798,-0.7681804714544345,0.32526156674344925,-0.6566881197210473,1.4546140899866487,0.7908989215365636,1.0880989149569626,-0.9496430248160592,1.5086434682830825,-1.546700041588363,-1.2128516297852778,10.0,1,102.51812805348419,7,1,0.0
22024,22,SAS,San Antonio Spurs,0022400262,2024-11-21,SAS vs. UTA,W,239,1.6903296914484642,0.4375976606855105,0.5117981105858105,0.10032508444336503,0.5839773112275829,1.274867720774487,-0.3828080466315165,2.39553460795405,2.5198991133586817,0.04482290081042932,-0.19722620817240563,1.6304628557680916,1.2293292929824053,1.6173324540461105,0.030070875452805217,1.5086434682830825,-0.8408092649339393,-0.39518126823351146,8.0,1,102.51812805348419,25,1,1.0
22024,22,SAS,San Antonio Spurs,0022400025,2024-11-19,SAS vs. OKC,W,239,0.5535629141352607,0.10674877025692313,-0.05165138678256162,0.1686565882064031,2.802164092945224,2.5569146280211132,0.4839227458889253,-0.9257089325581328,-0.7681804714544345,-0.7263834305053744,-0.8864190754953681,1.278765324205206,0.49861200723933585,1.6173324540461105,-0.9496430248160592,0.0017947759826136167,1.5121599905808072,-1.8261044009491025,6.0,1,102.51812805348419,23,1,1.0
22024,22,SAS,San Antonio Spurs,0022400232,2024-11-16,SAS @ DAL,L,240,-0.6542517867600182,-1.7129201271003072,0.5117981105858105,-2.427940554789077,1.0276146675711109,2.007465953486845,-0.42220490083699125,1.0368440686536116,0.5714075075435016,1.106483564699718,0.26223570337623603,0.22367272951654904,0.35246855009072203,-0.3231905226140974,0.6832134756320482,1.5086434682830825,-0.8408092649339393,-1.0084340393973361,-17.0,0,102.51812805348419,5,0,1.0
22024,22,SAS,San Antonio Spurs,0022400015,2024-11-15,SAS vs. LAL,L,237,0.9088025320456369,0.7684465511140978,0.5117981105858105,0.49323123108083844,2.3585267366016955,2.4653398489320684,0.2541077630236567,-1.0766745480359594,-1.1335226475447808,-0.06534943223468564,-0.19722620817240563,-0.30387356782777947,-0.3782487356523471,1.6173324540461105,-0.6230717247264377,0.0017947759826136167,-0.37021541383099005,-0.599598858621453,-5.0,0,102.51812805348419,10,1,0.0
22024,22,SAS,San Antonio Spurs,0022400224,2024-11-13,SAS vs. WAS,W,241,2.613952698015442,1.5955687771855662,0.9625577084805083,1.0569661371259103,2.58034541477346,2.3737650698430235,0.45765817641860884,0.8858784531757852,0.8149689582703991,0.2451362336197293,-0.8864190754953681,0.047823963735106244,-0.5243921928009609,2.6757995322244055,-0.29650042463681625,0.755219122132848,-1.3114031160368884,-1.4172692201732193,9.0,1,102.51812805348419,27,1,0.0
22024,22,SAS,San Antonio Spurs,0022400216,2024-11-11,SAS vs. SAC,W,240,0.9798504556277121,0.7684465511140978,0.17372841216478724,0.7836401220737542,3.467620127460516,2.5569146280211132,0.9107219997815673,-1.6805370099472654,-2.10776845045237,2.438567227881561,-0.8864190754953681,0.9270677926423203,0.20632509294210818,1.440921274349728,-0.9496430248160592,0.0017947759826136167,0.3356753628234339,-2.4393571721129272,20.0,1,102.51812805348419,21,1,1.0
22024,22,SAS,San Antonio Spurs,0022400197,2024-11-09,SAS vs. UTA,L,241,0.5535629141352607,-0.058675674957370534,0.17372841216478724,-0.22424955843107028,2.3585267366016955,2.6484894071101572,0.14904948514239091,-0.32184647064682687,-0.7681804714544345,1.386922230632738,-1.3458809870440098,0.047823963735106244,-0.8166791070981887,1.0880989149569626,0.030070875452805217,1.8853556413581998,1.2768630650293324,0.8313242740941379,-1.0,0,102.51812805348419,25,1,1.0
22024,22,SAS,San Antonio Spurs,0022400183,2024-11-07,SAS vs. POR,W,238,1.1219463027918624,0.9338709963283914,-0.16434128625623604,1.3132092762373067,2.136708058429931,1.9158911743978,0.464224318786188,-0.7747433170803063,-0.8899611968178833,0.2150892336983343,0.03250474760191523,0.3995214952979918,0.35246855009072203,2.146565993135258,0.35664217554242666,-0.3749173970925036,0.10037843727195926,-1.4172692201732193,13.0,1,102.51812805348419,20,1,0.0
22024,22,SAS,San Antonio Spurs,0022400173,2024-11-06,SAS @ HOU,L,239,-0.15691632168549152,-0.22410012017166422,-0.05165138678256162,-0.24133243437183005,1.6930707020864033,1.641166837130666,0.32633532906702695,-1.0766745480359594,-1.1335226475447808,-0.06534943223468564,-0.8864190754953681,0.3995214952979918,-0.2321052785037333,-0.49960170231047996,-0.6230717247264377,0.37850694905773075,1.041566139477858,-1.8261044009491025,-27.0,0,102.51812805348419,8,0,1.0
22024,22,SAS,San Antonio Spurs,0022400168,2024-11-04,SAS @ LAC,L,240,0.12727537264280936,-0.058675674957370534,0.28641831163846165,-0.30966393813486903,1.0276146675711109,2.0990407325758893,-0.468167897410045,-0.32184647064682687,-0.7681804714544345,1.386922230632738,0.03250474760191523,0.3995214952979918,0.35246855009072203,-0.1467793429177149,0.35664217554242666,1.8853556413581998,-1.076106190485414,-1.2128516297852778,-9.0,0,102.51812805348419,9,0,0.0
